ISIN;null
Начальная дата;22.03.2023
Конечная дата;21.03.2033

ISIN;Полное наименование ЦБ;Объем эмиссии (млн);Дата;Номинал;Валюта номинала;Непогашенный номинал;Ставка купона,  % годовых;Размер выплаты;Размер выплаты, руб.*
RU000A0ZZ1J8;ГТЛК БО 001P-09;10000;18.03.2033;1000;RUB;1000;;;
RU000A0ZYWB3;АЛЬФА-БАНК АО БО-39;10000;17.03.2033;1000;RUB;1000;;;
XS0971721963;ГОВОЗ РФ 12840069V (XS);1500;16.03.2033;200000;USD;200000;5,875;5875;453797,92
RU000A0JV1C7;ИА АИЖК 2014-3 А1;3019;16.03.2033;1000;RUB;10,52;9;;
RU000A0JV1B9;ИА АИЖК 2014-3 А2;1509;16.03.2033;1000;RUB;10,52;3;;
RU000A105PH6;Россети ПАО БО 001P-07R;30000;15.03.2033;1000;RUB;1000;;;
RU000A0JV755;ИА АИЖК 2014-2 кл.А3;6459;13.03.2033;1000;RUB;288,27;10,5;;
RU000A101ZU7;ИА Абсолют 5 01;3003;12.03.2033;1000;RUB;390,26;6,35;;
RU000A1056S4;"ФСК Россети"(ПАО) БО-05;10000;11.03.2033;1000;RUB;1000;;;
RU000A0ZZW77;ИА БСПБ 2 ООО об. 01;7547,025;10.03.2033;1000;RUB;88,66;9,35;;
RU000A0ZZ083;ИКС 5 ФИНАНС 001P-03;10000;08.03.2033;1000;RUB;1000;;;
RU000A0JVB27;"Российские ЖД" ОАО 34 обл.;15000;08.03.2033;1000;RUB;1000;;;
RU000A0JVB19;"Российские ЖД" ОАО 33 обл.;15000;08.03.2033;1000;RUB;1000;;;
RU000A105ZC6;ПАО НК Роснефть 002P-13;15000;07.03.2033;1000;CNY;1000;;;
RU000A102VR0;ГТЛК БО 002P-01;10000;07.03.2033;1000;RUB;1000;;;
RU000A1018T2;ДОМ.РФ Ипотечный агент 13-002P;96608,082;07.03.2033;1000;RUB;331,39;;;
RU000A0ZZAL5;ГТЛК БО 001P-11;150;04.03.2033;1000;USD;1000;;;
RU000A0ZYU21;АЛЬФА-БАНК АО БО-40;10000;04.03.2033;1000;RUB;1000;;;
RU000A0JX2R1;ДОМ.РФ (АО) БО-05;5000;04.03.2033;1000;RUB;1000;;;
RU000A0JWB59;АКБ "Держава" 03;500;04.03.2033;1000;RUB;1000;15;74,79;74,79
RU000A105YB1;Группа компаний Медси 001P-02;3000;03.03.2033;1000;RUB;1000;;;
RU000A105YA3;Группа компаний Медси 001P-01;3000;03.03.2033;1000;RUB;1000;;;
RU000A1038M5;ГТЛК БО 001P-20;7000;02.03.2033;1000;RUB;1000;;;
RU000A0JUKX4;ДОМ.РФ (АО) обл. сер. А30;6000;01.03.2033;1000;RUB;1000;;;
RU000A102L53;ДОМ.РФ Ипотечный агент БО 1P6;45718,936;28.02.2033;1000;RUB;561,44;;;
RU000A102JB9;ДОМ.РФ Ипотечный агент БО 1P2;10206,258;28.02.2033;1000;RUB;545,64;6,05;;
RU000A102D46;ДОМ.РФ Ипотечный агент 18-002P;14018,879;28.02.2033;1000;RUB;518,11;;;
RU000A102AP8;ДОМ.РФ Ипотечный агент 17-002P;7244,692;28.02.2033;1000;RUB;533,71;5,2;;
RU000A101U95;ДОМ.РФ Ипотечный агент 14-002P;6652,643;28.02.2033;1000;RUB;468,92;;;
RU000A101TD6;ДОМ.РФ Ипотечный агент 15-002P;16252,739;28.02.2033;1000;RUB;387,15;5,9;;
RU000A1019A0;ДОМ.РФ Ипотечный агент 04-001P;2663,462;28.02.2033;1000;RUB;307,94;;;
RU000A100ZB9;ДОМ.РФ Ипотечный агент 10-002P;95652,798;28.02.2033;1000;RUB;329,88;;;
RU000A0ZZV86;ДОМ.РФ Ипотечный агент 06-002P;74263,788;28.02.2033;1000;RUB;201,73;9,95;;
RU000A104YR0;СФО МОС МСП 2 об. 3;4000;26.02.2033;1000;RUB;1000;9,55;;
RU000A105XG2;Банк ДОМ.РФ СУБ-T2-1;5000;25.02.2033;10000000;RUB;10000000;;;
RU000A100FE5;ГТЛК БО 001P-14;10000;24.02.2033;1000;RUB;1000;;;
RU000A105L19;ОФЗ-ПК 29023 23/08/34;1000000;23.02.2033;1000;RUB;1000;;;
RU000A103N76;ИКС 5 ФИНАНС 002Р-01;10000;23.02.2033;1000;RUB;1000;;;
RU000A1036S6;ФСК Россети ПАО БО 001P-03R;10000;23.02.2033;1000;RUB;1000;;;
RU000A101SD8;ГТЛК БО 001P-19;5000;23.02.2033;1000;RUB;1000;;;
RU000A101SC0;ГТЛК БО 001P-18;5000;23.02.2033;1000;RUB;1000;;;
RU000A105KB0;ГТЛК БО 002P-02;5000;22.02.2033;1000;RUB;1000;;;
RU000A0JVB35;ИА Мультиоригинаторный 1 кл.А;2274,456;20.02.2033;1000;RUB;15,89;8,75;;
RU000A105WR1;АЗБУКА ВКУСА БОП2;2000;18.02.2033;1000;RUB;1000;;;
RU000A0ZZ984;ГТЛК БО 001P-10;10000;18.02.2033;1000;RUB;1000;;;
RU000A0JUCA9;ФСК Россети(ПАО)-обл. сер.34;14000;18.02.2033;1000;RUB;1000;;;
RU000A0JUC92;ФСК Россети(ПАО)-обл. сер.30;10000;18.02.2033;1000;RUB;1000;;;
RU000A0JWF30;ИАМультиоригинаторный 1 кл.А/4;2126,971;17.02.2033;1000;RUB;31,08;11;;
RU000A105RH2;Газпром капитал ООО ЗО37-1-Д;775,436;16.02.2033;1000;USD;1000;7,288;36,44;2814,71
RU000A101H92;Промсвязьбанк ПАО обл.15;6750;16.02.2033;10000000;RUB;10000000;2,5;62328,77;62328,77
RU000A0ZYJ91;"ФСК Россети"(ПАО) БО-04;7000;16.02.2033;1000;RUB;1000;;;
US912810QX90;Government of the USA 15/08/42;16000;15.02.2033;100;USD;100;2,75;;
RU000A104UA4;ГК Сегежа 002P-04R;8200;14.02.2033;1000;RUB;1000;;;
RU000A101QL5;ГТЛК БО 001P-17;10000;14.02.2033;1000;RUB;1000;;;
RU000A0JTYK4;ФСК Россети(ПАО)-обл. сер.28;20000;14.02.2033;1000;RUB;1000;;;
RU000A0JTYJ6;ФСК Россети (ПАО)-обл. сер.23;10000;14.02.2033;1000;RUB;1000;;;
RU000A0GN9A7;ОФЗ-АД 46020 06/02/36;52299,927;09.02.2033;1000;RUB;1000;6,9;34,41;34,41
RU000A105VU7;Эталон-Финанс 002Р-01;8000;09.02.2033;1000;RUB;1000;;;
RU000A1043Z7;Биннофарм Групп 001Р-01;3000;09.02.2033;1000;RUB;1000;;;
RU000A105VQ5;Россети ПАО БО 001P-08R;12000;08.02.2033;1000;RUB;1000;;;
RU000A0JX090;ФСК Россети(ПАО) БО-02;10000;08.02.2033;1000;RUB;1000;;;
RU000A1018T2;ДОМ.РФ Ипотечный агент 13-002P;96608,082;07.02.2033;1000;RUB;331,39;;;
RU000A0ZZV11;ГТЛК БО 001P-12;5000;04.02.2033;1000;RUB;1000;;;
RU000A1053P7;ГК Сегежа 002P-05R;10000;03.02.2033;1000;RUB;1000;;;
RU000A103BR0;ОФЗ-ПД 26240 30/07/2036;500000;02.02.2033;1000;RUB;1000;7;34,9;34,9
RU000A100MY9;ОФЗ-ПД 26231 20/07/44;212636;02.02.2033;1000;RUB;1000;0,25;1,25;1,25
RU000A0ZYU54;Сфера финансов БО-01Р-01;1000;02.02.2033;1000;RUB;1000;;;
RU000A0ZYU05;РЖД БО 001Р-05R;20000;01.02.2033;1000;RUB;1000;;;
RU000A0JV4R9;ДОМ.РФ (АО) обл. сер. А31;7000;01.02.2033;1000;RUB;1000;;;
RU000A0ZZR58;КонцессииТеплоснабжения ООО 03;1100;31.01.2033;1000;RUB;846,16;;;
RU000A1031K4;ДОМ.РФ Ипотечный агент БО 1P8;4742,319;28.01.2033;1000;RUB;650,85;6,95;;
RU000A102ME7;ИА Титан-3 03;228,923;28.01.2033;1000;RUB;1000;;;
RU000A102MC1;ИА Титан-3 02;323,614;28.01.2033;1000;RUB;1000;;;
RU000A102MB3;ИА Титан-3 01;2275;28.01.2033;1000;RUB;350,92;7,45;;
RU000A102GV3;ДОМ.РФ Ипотечный агент БО 1P1;5825,188;28.01.2033;1000;RUB;576,26;6,05;;
RU000A101X01;ДОМ.РФ Ипотечный агент 16-002P;1035,6;28.01.2033;1000;RUB;477,08;;;
RU000A101JD7;ДОМ.РФ Ипотечный агент 05-001P;7207,044;28.01.2033;1000;RUB;397,69;6,5;;
RU000A1016B4;ДОМ.РФ Ипотечный агент 12-002P;24085,632;28.01.2033;1000;RUB;413,58;;;
RU000A100ZB9;ДОМ.РФ Ипотечный агент 10-002P;95652,798;28.01.2033;1000;RUB;329,88;;;
RU000A100YY4;ДОМ.РФ Ипотечный агент 11-002P;4923,727;28.01.2033;1000;RUB;355,32;7,1;;
RU000A0ZZCH9;ДОМ.РФ Ипотечный агент 05-002P;6187,764;28.01.2033;1000;RUB;236,26;8;;
RU000A0ZYLX0;ДОМ РФ ИА 03;1957,905;28.01.2033;1000;RUB;123,56;;;
RU000A0ZYL89;ДОМ РФ ИА 04;7557,011;28.01.2033;1000;RUB;88,96;;;
RU000A0ZYJT2;ДОМ РФ ИА 002P;48197,806;28.01.2033;1000;RUB;95,68;11,5;;
RU000A105EW9;ГК Сегежа 003P-01R;500;27.01.2033;1000;CNY;1000;;;
RU000A104YR0;СФО МОС МСП 2 об. 3;4000;26.01.2033;1000;RUB;1000;9,55;;
RU000A105DR1;ФСК Россети БО-07;15000;25.01.2033;1000;RUB;1000;;;
RU000A105DN0;ФСК Россети БО-06;10000;25.01.2033;1000;RUB;1000;;;
RU000A0ZYFN3;ДОМ.РФ (АО) БО-10;10000;25.01.2033;1000;RUB;1000;;;
RU000A0ZYFM5;ДОМ.РФ (АО) БО-08;5000;25.01.2033;1000;RUB;1000;;;
RU000A105SP3;ГК Сегежа 003P-02R;6000;21.01.2033;1000;RUB;1000;;;
RU000A1003A4;ГТЛК БО 001P-13;10000;21.01.2033;1000;RUB;1000;;;
RU000A105G16;ОФЗ-ПК 29022 20/07/33;1000000;19.01.2033;1000;RUB;1000;;;
RU000A101F94;ОФЗ-ПД 26233 18/07/2035;450000;19.01.2033;1000;RUB;1000;6,1;30,42;30,42
RU000A0ZYF38;ДОМ.РФ (АО) БО-07;5000;19.01.2033;1000;RUB;1000;;;
RU000A0ZYF20;ДОМ.РФ (АО) БО-06;5000;19.01.2033;1000;RUB;1000;;;
RU000A0ZYR91;ГТЛК БО 001Р-08;10000;18.01.2033;1000;RUB;1000;;;
RU000A0JU2L7;ФСК Россети(ПАО)-обл. сер.27;11000;18.01.2033;1000;RUB;1000;;;
RU000A0JU2K9;ФСК Россети(ПАО)-обл. сер.26;15000;18.01.2033;1000;RUB;1000;;;
